#month,latitude(deg.),longitude(deg.),num_sample,mean_cur_dir(deg.),max_cur_dir(deg.),mean_cur_vel(knot),max_cur_vel(knot),stabilityv(%)
4,-59,-75,1,0,90,0,0.5,0
4,-58,-79,1,0,120,0,0.3,0
4,-58,-75,2,118,140,0.4,1.2,51
4,-58,-73,1,0,50,0,0.5,0
4,-58,-72,1,0,80,0,0.5,0
4,-57,-87,1,0,280,0,0.3,0
4,-57,-80,1,0,90,0,0.8,0
4,-57,-79,1,0,330,0,0.7,0
4,-57,-78,1,0,90,0,0.7,0
4,-57,-77,1,0,80,0,0.5,0
4,-57,-76,1,0,90,0,0.5,0
4,-57,-75,1,0,90,0,0.7,0
4,-57,-74,1,0,300,0,0.5,0
4,-57,-72,1,0,90,0,1.5,0
4,-57,-71,2,102,90,0.5,0.7,96
4,-56,-96,1,0,270,0,0.5,0
4,-56,-95,1,0,330,0,0.3,0
4,-56,-93,1,0,270,0,0.5,0
4,-56,-92,1,0,80,0,0.3,0
4,-56,-88,1,0,270,0,0.5,0
4,-56,-87,1,0,360,0,0.7,0
4,-56,-82,1,0,90,0,1,0
4,-56,-81,3,128,200,0.2,0.7,41
4,-56,-80,2,22,340,0.4,1,52
4,-56,-79,2,0,90,0.3,0.7,100
4,-56,-78,2,80,80,0.2,0.5,100
4,-56,-77,2,145,160,0.5,1,87
4,-56,-76,2,119,120,0.3,0.7,76
4,-56,-75,1,0,90,0,0,0
4,-56,-74,1,0,100,0,0.5,0
4,-56,-73,3,111,100,0.2,0.5,75
4,-56,-72,1,0,290,0,0.5,0
4,-56,-71,1,0,200,0,0.6,0
4,-56,-68,1,0,120,0,1.2,0
4,-56,-67,3,11,20,0.6,1,97
4,-56,-66,2,49,50,1,1.5,99
4,-56,-65,1,0,0,0,0,0
4,-55,-103,1,0,330,0,0.3,0
4,-55,-99,1,0,200,0,0.3,0
4,-55,-96,1,0,240,0,0.5,0
4,-55,-92,1,0,30,0,0.1,0
4,-55,-86,1,0,90,0,1,0
4,-55,-85,2,240,240,0.1,0.3,100
4,-55,-84,2,24,350,0.5,1.2,61
4,-55,-82,1,0,170,0,1,0
4,-55,-81,1,0,80,0,1.7,0
4,-55,-78,1,0,110,0,1,0
4,-55,-75,1,0,140,0,0.7,0
4,-55,-73,1,0,100,0,0.7,0
4,-55,-66,1,0,50,0,0.3,0
4,-55,-64,1,0,350,0,1,0
4,-54,-167,1,0,220,0,0.3,0
4,-54,-117,1,0,280,0,0.5,0
4,-54,-112,1,0,10,0,0.5,0
4,-54,-110,1,0,250,0,0,0
4,-54,-109,1,0,100,0,0,0
4,-54,-105,1,0,190,0,0.3,0
4,-54,-101,1,0,280,0,0.6,0
4,-54,-100,1,0,100,0,0.1,0
4,-54,-95,1,0,60,0,0.3,0
4,-54,-94,1,0,90,0,0.3,0
4,-54,-90,2,111,90,0.6,1,84
4,-54,-89,1,0,70,0,0.7,0
4,-54,-81,1,0,330,0,1,0
4,-54,-78,1,0,100,0,0.5,0
4,-54,-76,1,0,310,0,0.1,0
4,-54,-75,1,0,360,0,0.3,0
4,-54,-74,2,130,130,0.5,0.6,99
4,-54,-73,3,291,130,0.1,0.6,20
4,-54,-72,4,248,220,0,0.5,34
4,-54,-71,3,139,180,0.1,1.2,20
4,-54,-65,3,78,90,0.1,1,23
4,-54,-63,1,0,10,0,0.3,0
4,-54,-37,1,0,120,0,0.3,0
4,-53,-127,1,0,30,0,0.3,0
4,-53,-120,1,0,360,0,0.3,0
4,-53,-118,1,0,60,0,0,0
4,-53,-113,1,0,220,0,0.6,0
4,-53,-105,1,0,340,0,0.5,0
4,-53,-102,1,0,50,0,0.3,0
4,-53,-99,1,0,90,0,0.3,0
4,-53,-95,1,0,220,0,0.8,0
4,-53,-93,1,0,320,0,0.5,0
4,-53,-89,1,0,80,0,0.5,0
4,-53,-88,1,0,150,0,0.5,0
4,-53,-83,1,0,320,0,0.7,0
4,-53,-81,1,0,340,0,0.3,0
4,-53,-79,1,0,290,0,0.1,0
4,-53,-77,2,35,50,0.1,0.5,28
4,-53,-76,2,30,30,0.6,1.4,100
4,-53,-71,1,0,270,0,1,0
4,-53,-70,2,231,250,0.8,1.2,91
4,-53,-68,1,0,50,0,1.2,0
4,-53,-66,1,0,340,0,0.1,0
4,-53,-64,6,354,20,0.3,1.2,64
4,-53,-61,1,0,80,0,0.1,0
4,-53,-36,1,0,80,0,0.1,0
4,-52,-176,1,0,70,0,0,0
4,-52,-135,1,0,340,0,0.3,0
4,-52,-126,1,0,310,0,0.5,0
4,-52,-123,2,243,240,0,0.1,100
4,-52,-121,1,0,240,0,0.1,0
4,-52,-114,1,0,50,0,1,0
4,-52,-111,1,0,140,0,0,0
4,-52,-110,1,0,70,0,1,0
4,-52,-105,1,0,180,0,0.3,0
4,-52,-98,1,0,0,0,0,0
4,-52,-94,1,0,230,0,1,0
4,-52,-92,1,0,140,0,0.5,0
4,-52,-77,6,163,150,0.4,1,87
4,-52,-76,4,150,100,0.1,0.3,72
4,-52,-75,1,0,150,0,0.5,0
