#month,latitude(deg.),longitude(deg.),num_sample,mean_cur_dir(deg.),max_cur_dir(deg.),mean_cur_vel(knot),max_cur_vel(knot),stabilityv(%)
12,-72,178,1,0,270,0,0.5,0
12,-66,34,1,0,90,0,0.5,0
12,-66,49,2,292,297,0.2,0.5,98
12,-66,55,1,0,230,0,0,0
12,-65,38,1,0,290,0,0.1,0
12,-65,42,1,0,275,0,0.2,0
12,-65,55,1,0,7,0,0.6,0
12,-65,56,2,280,280,0.3,0.4,100
12,-65,60,2,279,279,0.1,0.3,100
12,-65,66,1,0,90,0,0,0
12,-65,69,1,0,195,0,0.1,0
12,-65,72,1,0,340,0,0.3,0
12,-65,136,1,0,360,0,0.6,0
12,-65,179,1,0,120,0,0.5,0
12,-64,46,1,0,215,0,0.3,0
12,-64,48,1,0,225,0,0.2,0
12,-64,58,1,0,299,0,0.4,0
12,-64,61,2,320,291,0.3,0.5,82
12,-64,66,1,0,25,0,0.1,0
12,-64,67,2,322,290,0.5,0.6,85
12,-64,71,3,305,320,0.3,0.6,85
12,-64,72,1,0,90,0,0.3,0
12,-64,73,2,281,282,0.2,0.3,100
12,-64,75,1,0,324,0,0.1,0
12,-64,77,2,339,330,0.2,0.3,98
12,-64,79,2,293,294,0.2,0.3,100
12,-64,89,1,0,327,0,0.3,0
12,-64,132,1,0,130,0,0.3,0
12,-63,-37,3,49,50,0.3,0.5,99
12,-63,35,1,0,290,0,0.6,0
12,-63,52,1,0,295,0,0.4,0
12,-63,54,1,0,200,0,0.1,0
12,-63,60,1,0,100,0,0.4,0
12,-63,63,1,0,330,0,0.4,0
12,-63,64,1,0,210,0,0.4,0
12,-63,66,1,0,25,0,0.1,0
12,-63,68,1,0,313,0,0.4,0
12,-63,70,1,0,45,0,0.3,0
12,-63,75,1,0,30,0,0.1,0
12,-63,76,2,327,334,0.5,0.7,98
12,-63,80,1,0,2,0,0.4,0
12,-63,82,1,0,304,0,0.4,0
12,-63,83,3,312,321,0.3,0.4,97
12,-63,88,1,0,360,0,0.4,0
12,-63,93,1,0,340,0,0.1,0
12,-63,98,1,0,150,0,0.3,0
12,-63,124,3,185,200,0.1,0.8,51
12,-63,125,1,0,60,0,0.1,0
12,-63,128,1,0,0,0,0,0
12,-63,176,1,0,30,0,2.8,0
12,-62,-44,2,300,300,0,0.3,51
12,-62,-43,1,0,150,0,0.3,0
12,-62,-38,2,49,50,0.5,0.6,100
12,-62,-37,4,49,50,0.3,0.5,99
12,-62,-36,5,50,40,0.3,0.5,99
12,-62,-35,5,51,50,0.2,0.3,99
12,-62,33,1,0,280,0,0.5,0
12,-62,58,1,0,90,0,0.3,0
12,-62,72,1,0,307,0,0.7,0
12,-62,77,1,0,90,0,0.1,0
12,-62,78,1,0,252,0,0.4,0
12,-62,80,1,0,329,0,1.3,0
12,-62,81,1,0,263,0,0.6,0
12,-62,88,1,0,337,0,0.3,0
12,-62,89,1,0,11,0,0.4,0
12,-62,94,1,0,350,0,0.3,0
12,-62,113,2,72,80,0.5,0.8,97
12,-62,118,1,0,120,0,0.3,0
12,-62,122,1,0,10,0,0.1,0
12,-62,123,1,0,250,0,1.4,0
12,-61,-39,1,0,80,0,0.3,0
12,-61,-36,2,49,50,0.2,0.3,100
12,-61,-35,3,52,60,0.2,0.3,99
12,-61,-34,1,0,60,0,0.3,0
12,-61,-26,1,0,20,0,0,0
12,-61,-24,3,0,90,0.1,0.3,100
12,-61,22,1,0,350,0,0.3,0
12,-61,31,1,0,10,0,0.4,0
12,-61,82,1,0,25,0,0.5,0
12,-61,83,1,0,180,0,0,0
12,-61,86,1,0,130,0,0.2,0
12,-61,90,1,0,191,0,0.4,0
12,-61,91,1,0,260,0,0.7,0
12,-61,92,1,0,247,0,0.6,0
12,-61,96,1,0,79,0,0.2,0
12,-61,97,1,0,38,0,0.3,0
12,-61,99,2,276,277,0.5,0.5,100
12,-61,101,1,0,316,0,0.4,0
12,-61,103,3,15,234,0.1,0.4,37
12,-61,105,1,0,40,0,0.3,0
12,-61,106,1,0,206,0,0.2,0
12,-61,112,1,0,120,0,0.7,0
12,-61,114,1,0,0,0,0,0
12,-61,179,1,0,90,0,0.7,0
12,-60,-41,1,0,140,0,0,0
12,-60,-37,1,0,130,0,0.3,0
12,-60,-36,1,0,50,0,0.7,0
12,-60,-32,3,70,80,0.3,0.6,95
12,-60,-28,2,57,40,0.8,1,93
12,-60,-27,1,0,250,0,0.7,0
12,-60,-25,3,207,200,0.6,1.7,66
12,-60,-24,2,97,100,0.2,0.5,99
12,-60,-20,1,0,280,0,0.6,0
12,-60,-17,1,0,90,0,0.3,0
12,-60,-16,2,63,60,0.3,0.6,99
12,-60,20,1,0,235,0,0.4,0
12,-60,26,1,0,0,0,0,0
12,-60,29,1,0,285,0,0.5,0
12,-60,76,1,0,340,0,0,0
12,-60,82,1,0,90,0,0.6,0
12,-60,84,1,0,270,0,0.1,0
12,-60,86,1,0,266,0,0.3,0
12,-60,95,2,328,336,0.2,0.4,95
12,-60,104,1,0,327,0,0.2,0
12,-60,105,1,0,300,0,0.1,0
12,-60,109,1,0,124,0,0.2,0
12,-59,-76,1,0,90,0,0.5,0
12,-59,-73,1,0,90,0,0.5,0
12,-59,-39,1,0,210,0,0.1,0
12,-59,-38,1,0,100,0,0,0
12,-59,-37,1,0,50,0,0.7,0
12,-59,-34,3,26,350,0.3,0.7,81
12,-59,-33,1,0,50,0,0.8,0
12,-59,-31,2,57,50,0.3,0.6,94
12,-59,-30,2,183,210,0.3,1,46
12,-59,-29,1,0,310,0,0.1,0
12,-59,-25,1,0,90,0,0.5,0
12,-59,-23,1,0,80,0,0.3,0
12,-59,-22,1,0,30,0,0.7,0
12,-59,-20,1,0,60,0,0.1,0
12,-59,-19,1,0,90,0,0.1,0
12,-59,-17,1,0,170,0,0,0
12,-59,-16,1,0,30,0,0.7,0
12,-59,-11,1,0,30,0,0.3,0
12,-59,-10,1,0,110,0,0,0
12,-59,18,1,0,5,0,0.4,0
12,-59,60,1,0,100,0,0.5,0
12,-59,99,1,0,280,0,0.6,0
12,-59,100,1,0,14,0,0.2,0
12,-59,105,1,0,234,0,0.2,0
12,-59,106,2,75,75,0.1,0.2,100
12,-59,175,1,0,360,0,0.8,0
12,-58,-77,1,0,120,0,0.5,0
12,-58,-75,2,55,70,0.8,1.4,89
12,-58,-73,1,0,60,0,0.5,0
12,-58,-71,1,0,70,0,0.7,0
12,-58,-66,1,0,70,0,0.8,0
12,-58,-41,1,0,80,0,0.3,0
12,-58,-38,1,0,70,0,0.3,0
12,-58,-32,1,0,80,0,0.1,0
12,-58,-30,2,72,80,0.5,0.8,97
12,-58,-29,2,140,180,0,0.1,74
12,-58,-23,1,0,50,0,0,0
12,-58,-16,3,77,60,0.2,0.3,94
12,-58,-15,1,0,50,0,0.3,0
12,-58,-14,1,0,40,0,0.3,0
12,-58,-7,2,45,50,0.1,0.3,99
12,-58,-6,1,0,90,0,1.2,0
12,-58,-5,1,0,90,0,0.5,0
12,-58,-2,1,0,50,0,0.3,0
12,-58,-1,1,0,70,0,0.5,0
12,-58,1,1,0,80,0,1,0
12,-58,13,1,0,350,0,0.5,0
12,-58,15,1,0,310,0,0.3,0
12,-58,85,1,0,260,0,0.3,0
12,-58,87,1,0,80,0,0.3,0
12,-58,92,1,0,30,0,0.3,0
12,-58,99,1,0,149,0,0.3,0
12,-58,102,1,0,262,0,0.3,0
12,-58,103,1,0,50,0,0.3,0
12,-58,104,2,9,14,0.1,0.2,99
12,-58,108,2,352,352,0.5,0.5,100
12,-58,109,1,0,191,0,0.3,0
12,-58,178,1,0,70,0,1,0
12,-57,-87,1,0,20,0,0.3,0
12,-57,-84,1,0,70,0,0.3,0
12,-57,-81,2,86,90,0.7,1,99
12,-57,-78,3,75,70,0.4,0.6,91
12,-57,-77,1,0,30,0,0.3,0
12,-57,-76,3,88,90,0.7,1,96
12,-57,-75,4,106,160,0.3,0.7,74
12,-57,-74,2,83,80,0.4,0.7,99
12,-57,-73,2,39,360,0.3,0.6,71
12,-57,-72,1,0,110,0,2,0
12,-57,-70,2,120,120,0.7,1,100
12,-57,-68,2,74,80,1.6,2.3,98
12,-57,-67,1,0,140,0,0,0
12,-57,-64,1,0,80,0,1.4,0
12,-57,-42,1,0,290,0,1.2,0
12,-57,-28,1,0,80,0,0.3,0
12,-57,-25,1,0,70,0,0.8,0
12,-57,-24,1,0,180,0,0.3,0
12,-57,-15,1,0,10,0,0.5,0
12,-57,-14,1,0,330,0,0.5,0
12,-57,-10,1,0,80,0,0.5,0
12,-57,-9,1,0,30,0,0.3,0
12,-57,-8,1,0,40,0,0.6,0
12,-57,-7,1,0,40,0,0.3,0
12,-57,-3,1,0,30,0,0.3,0
12,-57,-2,5,57,80,0.3,0.5,81
12,-57,11,1,0,350,0,0.3,0
12,-57,83,1,0,90,0,0,0
12,-57,86,1,0,360,0,0.4,0
12,-57,101,1,0,325,0,0.1,0
12,-57,105,1,0,70,0,0.4,0
12,-57,106,1,0,150,0,0,0
12,-57,107,1,0,175,0,0.4,0
12,-56,-116,1,0,280,0,0.5,0
12,-56,-86,1,0,90,0,1,0
12,-56,-83,1,0,90,0,0.1,0
12,-56,-80,4,35,60,0.5,1.2,70
12,-56,-79,2,75,70,0.5,0.8,98
12,-56,-77,1,0,80,0,0.6,0
12,-56,-70,1,0,100,0,0.7,0
12,-56,-69,1,0,360,0,0.6,0
12,-56,-64,2,30,30,1,1.5,99
12,-56,-25,1,0,90,0,0.7,0
12,-56,-11,1,0,280,0,0.6,0
12,-56,9,1,0,85,0,0.3,0
12,-56,10,1,0,70,0,0.5,0
12,-56,11,1,0,70,0,0.5,0
12,-56,109,1,0,351,0,0.9,0
12,-56,170,1,0,60,0,2.1,0
12,-55,-87,1,0,80,0,0.5,0
