,,2020年　月平均潮位　　1/4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,* 欄は欠測日数を表します。（気象庁については欠測時間数）,,,,,,,,,,,,,,,,,,,,,,,,,,
,欠測日が国土地理院、その他の験潮場は10日以上、気象庁は240時間以上、海上保安庁は15日以上の場合、当月の月平均値は算出していません。,,,,,,,,,,,,,,,,,,,,,,,,,,
,また、月平均値を算出していない月が3ヶ月以上ある験潮場は年平均値を算出していません。,,,,,,,,,,,,,,,,,,,,,,,,,,
,月報の数値は暫定的なもので、後に変更される可能性があります。（太文字は前月月報の変更箇所） ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,単位　　mm,
番号,験潮場名,所属,１月,*,２月,*,３月,*,４月,*,５月,*,６月,*,７月,*,８月,*,９月,*,１０月,*,１１月,*,１２月,*,年平均
1701,忍路,国土地理院,1297,,1280,,1314,,1300,,1395,,1497,,1483,,1537,1,1503,,1485,,1396,1,1379,,1406
1605,浅虫,国土地理院,1003,,982,,984,,963,,1029,,1126,,1142,,1224,,1186,,1172,1,1080,,1073,,1080
1607,男鹿,国土地理院,712,,699,,682,,654,,722,,855,,882,,935,,922,,886,,795,,792,,795
1604,鼠ヶ関,国土地理院,1173,,1140,,1111,,1097,,1166,,1286,,1333,1,1414,,1383,,1346,,1258,1,1268,,1248
1201,相馬,国土地理院,3450,1,---,10,---,10,3407,1,3447,,3529,,3568,,3589,,3650,,3584,2,3467,,3455,,3515
1609,小木,国土地理院,1426,,1363,,1367,,1364,,1437,,1563,,1543,,1583,,1637,1,1617,,1535,,1503,,1495
1603,柏崎,国土地理院,1440,,1415,5,1352,,1345,,1406,,1545,,1590,,1665,,1632,,1607,1,1512,,1559,,1506
1602,輪島,国土地理院,1071,,1024,,1001,,1008,,1087,,1219,,1263,1,1339,1,1292,,1243,,1139,,1166,,1154
1303,勝浦,国土地理院,2966,,2870,,2870,,2903,,2894,,2946,,2944,,2962,,3063,,3051,,2928,,2939,,2945
1301,油壺,国土地理院,2630,,2578,,2586,,2592,,2596,,2697,,2689,1,2668,,2724,,2709,,2606,,2636,,2643
1304,伊東,国土地理院,2264,,2204,,2214,,2218,,2222,,2328,1,2310,,2292,,2355,,2342,1,2230,,2256,,2270
1606,三国,国土地理院,2121,,2036,1,2005,,2011,,2077,,2229,,2269,,2343,,2317,1,2266,,2178,,2220,,2173
1302,鬼崎,国土地理院,2397,7,2363,,2404,,2416,,2463,,2597,,2574,1,2526,,2629,,2592,,2402,,2444,,2484
1601,田後,国土地理院,2218,,2164,,2158,,2183,,2262,,2423,,2451,,2526,,2471,,2438,1,2321,2,2319,,2328
1401,海南,国土地理院,2212,,2196,,2213,,2237,,2293,,2411,,2385,,2412,,2437,,2520,1,2283,,2286,,2324
1610,須佐,国土地理院,1626,,1572,,1573,,1589,,1687,,1849,,1862,,1913,,1864,,1832,1,1702,,1654,,1727
1404,久礼,国土地理院,2221,,2201,,2212,,2228,,2272,,2388,,2353,,2392,,2444,,2555,1,2279,,2277,,2319
1502,仮屋,国土地理院,2633,,2573,,2577,,2596,,2700,,2850,,2852,,2892,,2886,,2873,,2693,,2624,1,2729
1403,細島,国土地理院,2382,,2345,1,2363,,2379,,2427,,2531,,2496,,2523,,2600,,2684,,2447,1,2405,,2465
1501,阿久根,国土地理院,3394,,3327,,3335,,3344,,3441,,3582,,3576,,3595,,3659,,3683,,3438,,3395,,3481
