　,　2021年　月平均気圧,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,単位　0.1hPa,
   ,国土地理院,,,　,,,,,,,,　,,,,,,,,,,　　　　　,,,,,
番号,験潮場,１月,,２月,,３月,,４月,,５月,,６月,,７月,,８月,,９月,,１０月,,１１月,,１２月,,平均,備考
1701,忍路,10146,,10099,,10163,,10162,,10076,,10098,,10114,,10105,,10158,,10180,,10135,,10128,,10130,小樽
1605,浅虫,10166,,10130,,10175,,10172,,10084,,10100,,10109,,10101,,10153,,10187,,10149,,10148,,10140,青森
1607,男鹿,10177,,10147,,10188,40,10181,,10093,,10101,,10102,,10097,,10150,,10190,,10157,,10161,,10145,秋田
1604,鼠ヶ関,10180,,10154,,10189,,10185,,10097,,10101,,10102,,10097,,10149,,10192,,10162,,10166,,10148,酒田
1201,相馬,10181,,10149,,10182,,10181,,10094,,10103,,10108,,10103,,10158,,10194,,10166,,10163,,10149,福島
1609,小木,10186,,10166,,10191,,10188,,10097,,10097,,10098,,10094,,10139,,10193,,10165,,10175,,10149,相川
1603,柏崎,10190,,10172,,10192,,10188,,10097,,10097,,10099,,10095,,10139,,10195,,10170,,10181,,10151,高田
1602,輪島,10192,,10175,,10193,,10190,,10096,,10097,,10100,,10095,,10140,,10197,,10169,,10185,,10152,輪島
1303,勝浦,10165,,10148,,10174,,10179,,10101,,10106,,10108,,10104,,10146,,10181,,10159,,10155,,10144,勝浦
1301,油壺,10171,,10148,,10173,,10177,,10095,,10102,,10105,,10100,,10148,,10184,,10160,,10158,,10143,横浜
1304,伊東,10169,,10148,40,10173,,10177,,10097,,10103,,10105,,10101,,10147,,10183,,10159,,10156,,10143,網代
1606,三国,10202,,10189,,10194,,10188,,10105,,10096,,10100,,10097,,10136,,10195,,10179,,10195,,10156,福井
1302,鬼崎,10196,,10180,,10182,,10180,,10105,,10097,,10100,,10100,,10136,,10183,,10175,,10187,,10152,名古屋
1601,田後,10211,,10190,,10192,,10187,,10100,,10091,,10096,,10092,,10135,,10198,,10182,,10205,,10157,鳥取
1401,海南,10211,,10191,,10187,,10183,,10107,,10094,,10101,,10100,,10132,,10189,,10182,,10204,,10157,和歌山
1610,須佐,10223,,10198,,10188,,10181,,10101,,10085,,10093,,10088,,10128,,10195,,10188,,10223,,10158,萩
1404,久礼,10207,,10188,,10181,,10179,,10108,,10094,,10102,,10100,,10128,,10185,,10181,,10205,,10155,高知
1502,仮屋,10224,,10200,,10183,,10175,,10101,,10078,,10086,,10083,,10119,,10188,,10190,,10228,,10155,平戸
1403,細島,10216,,10193,,10180,,10177,,10106,,10088,,10096,,10095,,10125,,10186,,10187,,10218,,10156,延岡
1501,阿久根,10222,,10200,,10180,,10172,,10110,,10080,,10092,,10093,,10120,,10183,,10191,,10230,,10156,阿久根
1503,沖縄,10199,,10181,,10169,,10148,,10119,,10072,,10058,,10090,,10110,,10149,,10173,,10213,,10140,那覇
1305,田子,10167,,10154,,10171,,10175,,10101,,10101,,10106,,10104,,10138,,10174,,10159,,10157,,10142,石廊崎
1306,焼津,10168,,10152,,10170,,10175,,10099,,10101,,10104,,10102,,10141,,10177,,10162,,10160,,10143,静岡
1702,奥尻,10160,,10123,,10170,,10170,,10083,,10101,,10112,,10102,,10154,,10184,,10142,,10142,,10137,江差
1611,飛島,10180,,10154,,10189,,10185,,10097,,10101,,10102,,10097,,10149,,10192,,10162,,10166,,10148,酒田
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,気象庁,,,,,,,,,,,,,,,,,,,,,,,,,,　　
番号,験潮場,１月,,２月,,３月,,４月,,５月,,６月,,７月,,８月,,９月,,１０月,,１１月,,１２月,,平均,備考
2701,稚内,10136,,10073,,10152,,10148,,10073,,10099,,10116,,10116,,10160,,10169,,10122,,10102,,10122,稚内
2702,網走,10137,,10078,,10157,,10153,,10078,,10107,,10123,,10120,,10167,,10174,,10134,,10106,,10128,網走
2101,花咲,10134,,10078,,10155,,10157,,10081,,10117,,10141,,10129,,10173,,10176,,10137,,10105,,10132,根室
2102,釧路,10140,,10084,,10158,,10158,,10080,,10114,,10136,,10124,,10171,,10177,,10138,,10113,,10133,釧路
2103,函館,10156,,10117,,10169,,10169,,10083,,10106,,10118,,10108,,10158,,10184,,10144,,10140,,10138,函館
2605,深浦,10171,,10138,,10177,,10176,,10086,,10098,,10103,,10095,,10149,,10187,,10150,,10154,,10140,深浦
,,験潮場最寄りの気象官署（備考欄）における測定値です,,,,,,,,,,,,,,,,,,,,,,,,,
,,各月の右側の欄の数値は次のとおりです。（４０：準正常値。一部欠測　９：資料不足値。資料不測のため十分な信頼性がありません。）,,,,,,,,,,,,,,,,,,,,,,,,,
,,太字は前月月報の変更箇所,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
